City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saldanha,-33.0117,17.9442,clear sky,60.85,91,0,12.57,ZA,2022-07-28 16:39:59
1,Takoradi,4.8845,-1.7554,overcast clouds,77.9,74,91,14.5,GH,2022-07-28 16:39:59
2,Mayumba,-3.432,10.6554,broken clouds,72.61,76,79,5.97,GA,2022-07-28 16:39:59
3,Qaanaaq,77.484,-69.3632,clear sky,39.96,70,9,1.19,GL,2022-07-28 16:40:00
4,Albany,42.6001,-73.9662,scattered clouds,88.57,61,26,1.01,US,2022-07-28 16:39:35
5,Saint Pete Beach,27.7253,-82.7412,clear sky,93.24,70,0,5.75,US,2022-07-28 16:40:00
6,Jamestown,42.097,-79.2353,light rain,78.53,82,100,10.36,US,2022-07-28 16:40:01
7,Belgrade,44.804,20.4651,clear sky,83.86,39,0,4.61,RS,2022-07-28 16:35:03
8,Vaini,-21.2,-175.2,broken clouds,73.56,94,75,6.91,TO,2022-07-28 16:40:01
9,Najran,17.4924,44.1277,scattered clouds,92.05,26,34,8.66,SA,2022-07-28 16:40:02
10,Rikitea,-23.1203,-134.9692,clear sky,73.35,70,2,20.65,PF,2022-07-28 16:40:02
11,Oranjestad,12.524,-70.027,few clouds,87.75,62,20,13.8,AW,2022-07-28 16:38:53
12,Moerai,-22.4333,-151.3333,broken clouds,73.0,77,54,23.42,PF,2022-07-28 16:40:03
13,Abu Samrah,35.3029,37.1841,clear sky,93.74,14,0,12.46,SY,2022-07-28 16:40:04
14,Hilo,19.7297,-155.09,clear sky,77.29,82,0,8.05,US,2022-07-28 16:40:04
15,Miyako,39.6367,141.9525,clear sky,70.93,94,5,2.33,JP,2022-07-28 16:40:05
16,Porto Walter,-8.2686,-72.7439,broken clouds,92.52,43,69,1.34,BR,2022-07-28 16:40:06
17,Saint-Philippe,-21.3585,55.7679,scattered clouds,71.19,82,45,7.4,RE,2022-07-28 16:40:06
18,Bethel,41.3712,-73.414,scattered clouds,88.36,69,40,5.75,US,2022-07-28 16:38:16
19,Ushuaia,-54.8,-68.3,broken clouds,46.06,53,75,18.41,AR,2022-07-28 16:40:07
20,Mahebourg,-20.4081,57.7,scattered clouds,71.26,83,40,9.22,MU,2022-07-28 16:40:07
21,Kruisfontein,-34.0033,24.7314,clear sky,65.88,84,0,4.72,ZA,2022-07-28 16:40:08
22,Tuktoyaktuk,69.4541,-133.0374,light rain,46.4,81,100,12.66,CA,2022-07-28 16:40:08
23,Dikson,73.5069,80.5464,overcast clouds,44.37,98,100,17.63,RU,2022-07-28 16:40:09
24,Izumo,35.3667,132.7667,scattered clouds,78.75,91,31,5.32,JP,2022-07-28 16:40:09
25,Bubaque,11.2833,-15.8333,overcast clouds,80.73,77,86,12.93,GW,2022-07-28 16:40:10
26,Torbay,47.6666,-52.7314,few clouds,72.75,77,20,14.97,CA,2022-07-28 16:35:30
27,Sao Filipe,14.8961,-24.4956,scattered clouds,80.56,75,25,12.55,CV,2022-07-28 16:40:11
28,Airai,-8.9266,125.4092,scattered clouds,52.2,84,26,3.8,TL,2022-07-28 16:40:12
29,Usinsk,65.9939,57.5281,few clouds,67.39,52,16,12.53,RU,2022-07-28 16:40:12
30,Mesetas,3.3846,-74.0442,overcast clouds,70.65,98,100,1.61,CO,2022-07-28 16:40:13
31,Lebu,-37.6167,-73.65,clear sky,53.74,72,0,13.22,CL,2022-07-28 16:39:00
32,Klaksvik,62.2266,-6.589,overcast clouds,54.52,88,94,16.33,FO,2022-07-28 16:40:13
33,Saskylakh,71.9167,114.0833,light rain,62.91,77,100,4.07,RU,2022-07-28 16:40:14
34,Abiramam,9.4667,78.45,overcast clouds,83.08,72,98,9.44,IN,2022-07-28 16:40:16
35,Sitka,57.0531,-135.33,moderate rain,57.09,94,100,4.61,US,2022-07-28 16:40:17
36,Busselton,-33.65,115.3333,light rain,62.02,86,42,19.6,AU,2022-07-28 16:40:17
37,Mataura,-46.1927,168.8643,overcast clouds,47.48,98,100,3.6,NZ,2022-07-28 16:39:14
38,Jiazi,22.8779,116.067,overcast clouds,83.64,84,100,3.33,CN,2022-07-28 16:40:18
39,Dakar,14.6937,-17.4441,overcast clouds,85.08,71,96,16.89,SN,2022-07-28 16:40:18
40,Saint Anthony,45.0205,-93.218,clear sky,74.25,54,0,18.41,US,2022-07-28 16:40:19
41,Salalah,17.0151,54.0924,broken clouds,77.09,88,75,5.75,OM,2022-07-28 16:40:19
42,Chokurdakh,70.6333,147.9167,overcast clouds,44.62,58,88,9.35,RU,2022-07-28 16:35:30
43,Buraydah,26.326,43.975,overcast clouds,104.45,11,100,9.6,SA,2022-07-28 16:40:20
44,Hirtshals,57.5881,9.9592,few clouds,62.56,67,19,4.79,DK,2022-07-28 16:40:21
45,Abnub,27.2696,31.1511,clear sky,100.62,12,7,8.55,EG,2022-07-28 16:40:21
46,Bredasdorp,-34.5322,20.0403,clear sky,54.21,72,0,3.87,ZA,2022-07-28 16:41:22
47,Arraial Do Cabo,-22.9661,-42.0278,clear sky,87.76,48,0,14.97,BR,2022-07-28 16:39:35
48,Gat,31.61,34.7642,clear sky,89.4,100,0,10.45,IL,2022-07-28 16:41:22
49,Campbell River,50.0163,-125.2446,clear sky,77.38,65,0,3.44,CA,2022-07-28 16:37:33
50,Bluff,-46.6,168.3333,overcast clouds,47.8,73,100,9.89,NZ,2022-07-28 16:41:23
51,Cururupu,-1.8283,-44.8683,light rain,84.02,61,35,5.37,BR,2022-07-28 16:41:23
52,Husavik,66.0449,-17.3389,clear sky,56.32,62,7,5.17,IS,2022-07-28 16:41:23
53,Kupang,-10.1667,123.5833,overcast clouds,73.74,71,98,12.21,ID,2022-07-28 16:41:24
54,Kavieng,-2.5744,150.7967,overcast clouds,82.65,73,100,16.69,PG,2022-07-28 16:38:53
55,Andapa,-14.65,49.65,broken clouds,61.09,97,74,2.08,MG,2022-07-28 16:41:24
56,Georgetown,5.4112,100.3354,few clouds,82.33,90,20,7.0,MY,2022-07-28 16:40:35
57,Castro,-24.7911,-50.0119,broken clouds,74.73,42,60,11.18,BR,2022-07-28 16:36:34
58,Salinas,36.6777,-121.6555,haze,65.21,86,100,0.0,US,2022-07-28 16:39:31
59,Zhigansk,66.7697,123.3711,overcast clouds,68.47,64,93,6.53,RU,2022-07-28 16:41:25
60,Barrow,71.2906,-156.7887,overcast clouds,33.15,97,100,13.2,US,2022-07-28 16:41:25
61,Katobu,-4.9408,122.5276,broken clouds,72.97,85,54,4.72,ID,2022-07-28 16:41:26
62,Saint George,37.1041,-113.5841,clear sky,85.42,56,0,4.61,US,2022-07-28 16:41:01
63,Severo-Kurilsk,50.6789,156.125,scattered clouds,51.66,93,45,8.05,RU,2022-07-28 16:41:26
64,Thiruvananthapuram,8.4833,76.9167,light intensity drizzle,78.78,83,75,3.44,IN,2022-07-28 16:39:30
65,Pozo Colorado,-23.4923,-58.7972,few clouds,96.35,18,18,12.86,PY,2022-07-28 16:41:27
66,Komsomolskiy,40.4272,71.7189,broken clouds,90.32,19,63,16.11,UZ,2022-07-28 16:41:27
67,Puerto Ayora,-0.7393,-90.3518,overcast clouds,76.96,90,98,10.0,EC,2022-07-28 16:41:28
68,Yagodnoye,62.55,149.6667,overcast clouds,52.38,62,100,5.59,RU,2022-07-28 16:41:28
69,Seoul,37.5683,126.9778,scattered clouds,83.8,77,40,5.75,KR,2022-07-28 16:37:43
70,Qasigiannguit,68.8193,-51.1922,broken clouds,48.45,65,76,1.88,GL,2022-07-28 16:41:28
71,Burgeo,47.6167,-57.6152,broken clouds,67.39,71,61,5.39,CA,2022-07-28 16:41:29
72,Fortuna Foothills,32.6578,-114.4119,overcast clouds,91.49,40,100,14.97,US,2022-07-28 16:41:29
73,Chuy,-33.6971,-53.4616,overcast clouds,52.57,93,100,12.03,UY,2022-07-28 16:41:30
74,Kalmunai,7.4167,81.8167,overcast clouds,80.11,80,100,2.57,LK,2022-07-28 16:41:30
75,Chopovychi,50.8332,28.9533,broken clouds,70.88,54,62,5.79,UA,2022-07-28 16:41:30
76,Clyde River,70.4692,-68.5914,light rain,39.43,93,100,16.11,CA,2022-07-28 16:41:06
77,Punta Arenas,-53.15,-70.9167,light rain,41.11,84,75,31.07,CL,2022-07-28 16:39:38
78,Umba,66.6871,34.3429,overcast clouds,55.31,81,96,11.48,RU,2022-07-28 16:41:31
79,Avarua,-21.2078,-159.775,overcast clouds,75.25,88,100,16.11,CK,2022-07-28 16:37:01
80,Victoria,22.2855,114.1577,overcast clouds,88.32,79,99,4.0,HK,2022-07-28 16:40:18
81,Ixtapa,20.7,-105.2,overcast clouds,86.23,74,100,6.91,MX,2022-07-28 16:41:32
82,Rorvik,64.8621,11.2373,broken clouds,57.18,76,75,9.22,NO,2022-07-28 16:41:32
83,Kulhudhuffushi,6.6221,73.07,overcast clouds,81.72,80,91,18.19,MV,2022-07-28 16:41:33
84,Andros Town,24.7,-77.7667,clear sky,87.76,68,9,16.24,BS,2022-07-28 16:41:33
85,Nikolskoye,59.7035,30.7861,overcast clouds,69.87,61,93,4.72,RU,2022-07-28 16:38:25
86,Victoria Point,-27.5833,153.3,scattered clouds,52.95,92,37,5.95,AU,2022-07-28 16:41:34
87,Bengkulu,-3.8004,102.2655,moderate rain,76.87,90,93,4.68,ID,2022-07-28 16:41:34
88,Yellowknife,62.456,-114.3525,overcast clouds,63.12,72,100,9.22,CA,2022-07-28 16:41:34
89,Hobart,-42.8794,147.3294,few clouds,43.05,70,19,13.8,AU,2022-07-28 16:37:06
90,Puro,12.4841,123.3827,overcast clouds,81.43,84,100,12.64,PH,2022-07-28 16:41:35
91,Khatanga,71.9667,102.5,scattered clouds,60.94,57,48,4.85,RU,2022-07-28 16:41:35
92,Aljezur,37.3191,-8.8033,clear sky,74.59,71,4,15.3,PT,2022-07-28 16:41:36
93,Praya,14.9215,-23.5087,few clouds,88.34,58,20,8.05,CV,2022-07-28 16:42:36
94,Alberton,46.8168,-64.0654,scattered clouds,75.33,69,29,4.68,CA,2022-07-28 16:42:21
95,Hualmay,-11.0964,-77.6139,broken clouds,65.95,71,57,8.9,PE,2022-07-28 16:42:36
96,Kununurra,-15.7667,128.7333,broken clouds,53.58,82,64,0.0,AU,2022-07-28 16:42:37
97,Vestmanna,62.1564,-7.1664,overcast clouds,52.72,94,100,13.8,FO,2022-07-28 16:42:37
98,Carnarvon,-24.8667,113.6333,overcast clouds,69.94,57,100,3.98,AU,2022-07-28 16:42:38
99,Abatskoye,56.2875,70.4555,light rain,62.29,95,93,10.87,RU,2022-07-28 16:42:38
100,Kapaa,22.0752,-159.319,light rain,75.52,91,40,11.5,US,2022-07-28 16:42:38
101,Tura,25.5198,90.2201,broken clouds,74.32,91,67,3.11,IN,2022-07-28 16:42:39
