City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Takoradi,GH,77.9,overcast clouds,4.8845,-1.7554,Raybow International Hotel
6,Jamestown,US,78.53,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Belgrade,RS,83.86,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
14,Hilo,US,77.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
24,Izumo,JP,78.75,scattered clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
25,Bubaque,GW,80.73,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
27,Sao Filipe,CV,80.56,scattered clouds,14.8961,-24.4956,Hotel Xaguate
34,Abiramam,IN,83.08,overcast clouds,9.4667,78.45, 
38,Jiazi,CN,83.64,overcast clouds,22.8779,116.067,Hotel Jin Hao
41,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
49,Campbell River,CA,77.38,clear sky,50.0163,-125.2446,Anchor Inn & Suites
51,Cururupu,BR,84.02,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
54,Kavieng,PG,82.65,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
56,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
64,Thiruvananthapuram,IN,78.78,light intensity drizzle,8.4833,76.9167,Hotel Residency Tower
67,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Seoul,KR,83.8,scattered clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
74,Kalmunai,LK,80.11,overcast clouds,7.4167,81.8167,VS Villa
79,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
83,Kulhudhuffushi,MV,81.72,overcast clouds,6.6221,73.07,Haajy Guest House 1
87,Bengkulu,ID,76.87,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
90,Puro,PH,81.43,overcast clouds,12.4841,123.3827, 
94,Alberton,CA,75.33,scattered clouds,46.8168,-64.0654,La Petite France B&B
100,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
102,Butaritari,KI,81.7,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
105,Wapi Pathum,TH,83.32,broken clouds,15.8452,103.3768,Nayai Resort
109,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
112,Wuda,CN,81.28,scattered clouds,39.4994,106.7117,Grape Sightseeing Garden
113,Itoman,JP,84.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
115,Shujaabad,PK,84.25,light rain,29.8797,71.2931,Amir jewellery collection
120,Meulaboh,ID,76.87,overcast clouds,4.1363,96.1285,Kost Pria
126,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
134,Dicabisagan,PH,79.47,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
136,Huilong,CN,83.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
