City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hasaki,JP,2022-07-28 19:39:04,broken clouds,35.7333,140.8333,77.4,90,79,10.94
1,Tessalit,ML,2022-07-28 19:39:04,overcast clouds,20.1986,1.0114,95.56,23,91,11.41
2,Vermillion,US,2022-07-28 19:39:04,clear sky,42.7794,-96.9292,75.36,20,5,12.24
3,Yellowknife,CA,2022-07-28 19:37:58,broken clouds,62.456,-114.3525,64.92,68,75,10.36
4,Saint-Philippe,RE,2022-07-28 19:39:05,clear sky,-21.3585,55.7679,67.21,84,4,8.86
5,Superior,US,2022-07-28 19:39:05,broken clouds,46.7208,-92.1041,74.7,56,75,13.8
6,Port Elizabeth,ZA,2022-07-28 19:34:46,clear sky,-33.918,25.5701,61.09,96,0,4.61
7,Victoria,HK,2022-07-28 19:39:03,overcast clouds,22.2855,114.1577,87.33,80,100,4.0
8,Kaeo,NZ,2022-07-28 19:39:06,broken clouds,-35.1,173.7833,52.32,83,54,6.04
9,Jamestown,US,2022-07-28 19:36:56,few clouds,42.097,-79.2353,82.06,44,20,16.11
10,Deputatskiy,RU,2022-07-28 19:39:07,overcast clouds,69.3,139.9,50.23,55,100,4.29
11,Tuktoyaktuk,CA,2022-07-28 19:39:07,light rain,69.4541,-133.0374,44.6,93,100,10.36
12,Kavieng,PG,2022-07-28 19:39:08,light rain,-2.5744,150.7967,80.83,79,57,17.34
13,Albany,US,2022-07-28 19:36:16,overcast clouds,42.6001,-73.9662,90.05,54,100,7.49
14,Pokhara,NP,2022-07-28 19:39:09,light rain,28.2333,83.9833,72.32,83,100,1.72
15,Sitka,US,2022-07-28 19:38:25,light rain,57.0531,-135.33,58.89,88,100,3.44
16,Caravelas,BR,2022-07-28 19:38:55,clear sky,-17.7125,-39.2481,72.7,72,0,6.38
17,Tomatlan,MX,2022-07-28 19:39:10,broken clouds,19.9333,-105.25,90.61,49,53,10.85
18,Butaritari,KI,2022-07-28 19:39:10,scattered clouds,3.0707,172.7902,81.93,72,41,15.32
19,Cidreira,BR,2022-07-28 19:39:11,heavy intensity rain,-30.1811,-50.2056,65.25,93,100,9.95
20,Punta Arenas,CL,2022-07-28 19:37:21,light intensity shower rain,-53.15,-70.9167,44.71,81,75,28.77
21,Rikitea,PF,2022-07-28 19:39:11,overcast clouds,-23.1203,-134.9692,73.45,73,91,21.36
22,Busselton,AU,2022-07-28 19:39:12,overcast clouds,-33.65,115.3333,59.81,83,100,18.52
23,Krasnoselkup,RU,2022-07-28 19:39:13,clear sky,65.7,82.4667,52.21,82,0,9.35
24,La Ronge,CA,2022-07-28 19:39:13,few clouds,55.1001,-105.2842,75.42,33,20,9.22
25,Lasa,IT,2022-07-28 19:39:15,overcast clouds,46.6166,10.7002,70.68,94,98,2.44
26,East London,ZA,2022-07-28 19:39:12,few clouds,-33.0153,27.9116,69.85,57,15,16.93
27,Coahuayana,MX,2022-07-28 19:39:15,broken clouds,18.7333,-103.6833,88.9,60,51,6.69
28,Hay River,CA,2022-07-28 19:39:16,light rain,60.8156,-115.7999,62.58,88,100,2.3
29,Hobart,AU,2022-07-28 19:35:51,scattered clouds,-42.8794,147.3294,41.05,83,40,5.75
30,Cape Town,ZA,2022-07-28 19:39:17,broken clouds,-33.9258,18.4232,60.89,81,75,19.57
31,Mataura,NZ,2022-07-28 19:39:17,overcast clouds,-46.1927,168.8643,47.48,98,100,3.13
32,Fez,MA,2022-07-28 19:38:03,few clouds,34.0372,-4.9998,88.05,32,20,9.22
33,Hithadhoo,MV,2022-07-28 19:39:18,overcast clouds,-0.6,73.0833,82.18,74,100,11.72
34,Sorland,NO,2022-07-28 19:39:18,broken clouds,67.667,12.6934,53.46,75,51,14.03
35,Bluff,NZ,2022-07-28 19:39:18,overcast clouds,-46.6,168.3333,47.8,75,100,11.74
36,Bethel,US,2022-07-28 19:39:19,clear sky,41.3712,-73.414,90.18,69,0,10.36
37,The Valley,AI,2022-07-28 19:39:19,scattered clouds,18.217,-63.0578,86.14,62,40,14.97
38,Punta Alta,AR,2022-07-28 19:34:50,clear sky,-38.8759,-62.0736,52.11,54,0,10.87
39,Lompoc,US,2022-07-28 19:35:16,mist,34.6391,-120.4579,86.02,73,0,14.97
40,Sao Filipe,CV,2022-07-28 19:39:20,scattered clouds,14.8961,-24.4956,79.38,79,32,11.5
41,Grand Gaube,MU,2022-07-28 19:39:20,clear sky,-20.0064,57.6608,70.2,75,2,1.99
42,Hovd,MN,2022-07-28 19:39:21,broken clouds,48.0056,91.6419,62.4,41,80,2.71
43,Mehamn,NO,2022-07-28 19:39:01,light intensity drizzle,71.0357,27.8492,49.95,81,75,8.05
44,Kapaa,US,2022-07-28 19:39:22,light rain,22.0752,-159.319,80.58,74,100,10.36
45,Turukhansk,RU,2022-07-28 19:39:22,clear sky,65.8167,87.9833,53.11,82,0,9.82
46,Chifeng,CN,2022-07-28 19:39:13,light rain,42.2683,118.9636,64.11,86,100,3.89
