City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Blackmans Bay,-43.0167,147.3167,41.52,92,1,5.14,AU,2023-05-10 19:31:53
1,As Sulayyil,20.4607,45.5779,88.05,14,0,9.6,SA,2023-05-10 19:31:53
2,Waingapu,-9.6567,120.2641,76.78,88,50,9.57,ID,2023-05-10 19:31:53
3,Hithadhoo,-0.6,73.0833,82.36,77,100,14.54,MV,2023-05-10 19:31:53
4,Stanley,54.868,-1.6985,54.7,80,20,4.61,GB,2023-05-10 19:31:53
5,Georgetown,5.4112,100.3354,84.15,85,20,0.0,MY,2023-05-10 19:30:17
6,Nanping,26.645,118.1736,62.98,97,100,3.02,CN,2023-05-10 19:31:53
7,Dudinka,69.4058,86.1778,-8.3,98,13,6.55,RU,2023-05-10 19:31:54
8,Crane,31.3974,-102.3501,90.3,23,0,17.98,US,2023-05-10 19:31:54
9,Longyearbyen,78.2186,15.6401,33.64,80,100,16.11,SJ,2023-05-10 19:31:54
10,Selfoss,63.9331,-20.9971,50.04,69,52,6.67,IS,2023-05-10 19:31:54
11,Fort Mcmurray,56.7268,-111.381,74.71,28,0,6.91,CA,2023-05-10 19:30:02
12,Bilibino,68.0546,166.4372,30.67,85,100,4.52,RU,2023-05-10 19:31:54
13,Yellowknife,62.456,-114.3525,61.32,29,40,3.44,CA,2023-05-10 19:27:35
14,Ilulissat,69.2167,-51.1,30.22,74,40,18.41,GL,2023-05-10 19:31:55
15,Badger,64.8,-147.5333,53.85,40,40,4.61,US,2023-05-10 19:28:08
16,Edinburgh Of The Seven Seas,-37.0676,-12.3116,56.16,65,100,19.57,SH,2023-05-10 19:31:55
17,Ferrandina,40.5012,16.4547,57.06,98,100,3.29,IT,2023-05-10 19:31:55
18,Port-Aux-Francais,-49.35,70.2167,44.01,93,76,23.33,TF,2023-05-10 19:31:55
19,Kharp,66.8014,65.8081,21.67,97,100,2.01,RU,2023-05-10 19:31:55
20,Grytviken,-54.2811,-36.5092,31.19,78,100,11.97,GS,2023-05-10 19:31:56
21,Goz Beida,13.95,20.55,90.63,35,100,7.56,TD,2023-05-10 19:31:56
22,Bethel,41.3712,-73.414,74.01,29,0,6.91,US,2023-05-10 19:28:46
23,Wailua Homesteads,22.0669,-159.378,77.79,68,0,13.8,US,2023-05-10 19:31:56
24,Lompoc,34.6391,-120.4579,74.01,63,20,19.57,US,2023-05-10 19:31:56
25,Levuka,50.1834,-105.4011,66.02,48,40,6.91,CA,2023-05-10 19:31:57
26,Freetown,8.484,-13.2299,82.11,74,75,10.36,SL,2023-05-10 19:31:57
27,Suntar,62.1444,117.6319,29.52,85,47,3.4,RU,2023-05-10 19:31:57
28,Hermanus,-34.4187,19.2345,61.81,92,84,9.69,ZA,2023-05-10 19:31:57
29,Floro,61.5996,5.0328,51.22,87,75,12.66,NO,2023-05-10 19:31:57
30,Taro,-8.3862,115.28,75.2,93,85,1.07,ID,2023-05-10 19:31:57
31,Kone,-21.0595,164.8658,68.59,77,99,5.57,NC,2023-05-10 19:31:58
32,Bocanda,7.0626,-4.4995,75.96,93,57,7.78,CI,2023-05-10 19:31:58
33,Olonkinbyen,70.9221,-8.7187,33.37,99,100,11.86,SJ,2023-05-10 19:31:58
34,Port Mathurin,-19.6833,63.4167,77.81,74,8,18.52,MU,2023-05-10 19:31:58
35,Aykhal,66.0,111.5,-0.78,95,9,6.98,RU,2023-05-10 19:31:58
36,Piriapolis,-34.8682,-55.2744,61.02,73,75,17.27,UY,2023-05-10 19:31:58
37,Dom Pedrito,-30.9828,-54.6731,61.81,70,0,4.56,BR,2023-05-10 19:31:58
38,Adamstown,-25.066,-130.1015,71.46,61,100,22.28,PN,2023-05-10 19:30:07
39,Chulakkurgan,43.765,69.1814,70.65,19,100,5.53,KZ,2023-05-10 19:31:59
40,Rancho Palos Verdes,33.7445,-118.387,69.04,71,4,8.99,US,2023-05-10 19:28:17
41,Minas De Marcona,-15.2119,-75.1103,68.76,59,1,13.96,PE,2023-05-10 19:31:59
42,Whitehorse,60.7161,-135.0538,58.1,32,75,13.8,CA,2023-05-10 19:31:59
43,Laela,-8.5667,32.05,61.25,82,90,3.83,TZ,2023-05-10 19:31:59
44,Albany,42.6001,-73.9662,71.78,27,3,3.0,US,2023-05-10 19:31:51
45,Broken Hill,-31.95,141.4333,48.16,73,0,7.31,AU,2023-05-10 19:32:00
46,Papatowai,-46.5619,169.4708,43.63,72,100,16.8,NZ,2023-05-10 19:32:00
47,Kodiak,57.79,-152.4072,42.31,87,100,21.85,US,2023-05-10 19:32:00
48,Mar Del Plata,-38.0023,-57.5575,60.1,60,75,10.36,AR,2023-05-10 19:31:54
49,Codrington,-38.2667,141.9667,44.58,92,1,8.05,AU,2023-05-10 19:32:05
50,Island Harbour,50.724,-1.2758,59.07,84,42,1.99,GB,2023-05-10 19:32:06
51,Puerto Natales,-51.7236,-72.4875,34.25,93,75,4.61,CL,2023-05-10 19:32:06
52,Chibougamau,49.9168,-74.3659,64.02,29,0,17.27,CA,2023-05-10 19:28:42
53,Ushuaia,-54.8,-68.3,46.06,61,75,11.5,AR,2023-05-10 19:31:04
54,Ostersund,63.1792,14.6357,55.85,35,0,5.75,SE,2023-05-10 19:32:06
55,Vorgashor,67.5833,63.95,21.99,96,100,4.12,RU,2023-05-10 19:32:06
56,Atafu Village,-8.5421,-172.5159,84.79,77,10,16.58,TK,2023-05-10 19:32:07
57,Hamilton,39.1834,-84.5333,77.99,32,0,9.22,US,2023-05-10 19:30:22
58,Puerto Ayora,-0.7393,-90.3518,85.96,92,58,5.01,EC,2023-05-10 19:32:07
59,Al Burayqah,30.4062,19.5739,67.82,80,6,13.27,LY,2023-05-10 19:32:07
60,Iqaluit,63.7506,-68.5145,31.73,59,20,13.8,CA,2023-05-10 19:30:13
61,Atherton,53.5237,-2.4935,56.25,82,64,1.01,GB,2023-05-10 19:32:07
62,Sabha,27.0377,14.4283,71.91,39,0,11.61,LY,2023-05-10 19:32:08
63,Daventry,52.2569,-1.1607,56.62,90,90,8.75,GB,2023-05-10 19:27:15
64,Waitangi,-43.9535,-176.5597,53.82,90,41,11.01,NZ,2023-05-10 19:32:08
65,Tolanaro,-25.0319,46.9987,73.47,88,20,6.91,MG,2023-05-10 19:32:08
66,Hafizabad,32.0679,73.6854,79.05,15,13,4.41,PK,2023-05-10 19:32:08
67,Ta`U,-14.2336,-169.5144,82.83,66,81,13.76,AS,2023-05-10 19:32:09
68,Tiksi,71.6872,128.8694,4.96,87,22,12.57,RU,2023-05-10 19:32:09
69,Bredasdorp,-34.5322,20.0403,58.05,91,80,6.29,ZA,2023-05-10 19:32:09
70,Ust-Nera,64.5667,143.2,33.22,75,99,5.91,RU,2023-05-10 19:32:09
71,Usogorsk,63.4106,48.6872,31.8,86,18,4.0,RU,2023-05-10 19:32:09
72,Mbalmayo,3.5167,11.5,77.32,97,100,3.31,CM,2023-05-10 19:32:09
73,St. John'S,47.5649,-52.7093,49.39,37,40,23.02,CA,2023-05-10 19:32:10
74,Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,61.34,30,100,5.61,CN,2023-05-10 19:32:10
75,Vadso,70.0744,29.7487,47.28,81,0,10.36,NO,2023-05-10 19:32:10
76,Cabo San Lucas,22.8909,-109.9124,87.62,34,0,9.22,MX,2023-05-10 19:30:56
77,Thompson,55.7435,-97.8558,60.96,59,75,8.05,CA,2023-05-10 19:31:57
78,Pervomayskoye,43.919,46.7102,54.66,78,100,4.56,RU,2023-05-10 19:32:12
79,Pimenta Bueno,-11.6725,-61.1936,86.0,66,38,4.03,BR,2023-05-10 19:32:12
80,Ribeira Grande,38.5167,-28.7,66.6,72,20,16.11,PT,2023-05-10 19:32:13
81,Kingston,17.997,-76.7936,92.25,65,20,26.46,JM,2023-05-10 19:32:13
82,Amahai,-3.3333,128.9167,77.45,89,100,3.18,ID,2023-05-10 19:32:13
83,Port Elizabeth,-33.918,25.5701,61.09,88,0,3.44,ZA,2023-05-10 19:32:13
84,Sinop,41.7711,34.8709,44.73,98,100,2.93,TR,2023-05-10 19:32:14
85,Fort Bragg,35.139,-79.006,79.92,31,0,9.22,US,2023-05-10 19:32:14
86,Chaozhou,23.6651,116.6379,69.66,74,89,0.96,CN,2023-05-10 19:32:14
87,Port Saint John'S,-31.6229,29.5448,66.49,76,3,9.57,ZA,2023-05-10 19:32:14
88,Sultanhisar,37.8897,28.1575,61.84,78,78,2.19,TR,2023-05-10 19:32:15
89,Zhangatas,43.5667,69.75,68.7,23,100,5.48,KZ,2023-05-10 19:32:15
90,Kokuy,52.2037,117.5529,53.2,34,100,3.06,RU,2023-05-10 19:32:15
91,Lagkadas,40.75,23.0667,57.99,80,100,2.21,GR,2023-05-10 19:32:15
92,Ndibene Dahra,15.3338,-15.4766,94.26,22,99,8.77,SN,2023-05-10 19:32:16
93,Ambatondrazaka,-17.8333,48.4167,61.43,98,53,3.8,MG,2023-05-10 19:32:16
94,Haiku-Pauwela,20.9219,-156.3051,80.17,59,20,18.41,US,2023-05-10 19:32:16
95,Lihue,21.9789,-159.3672,78.39,68,0,13.8,US,2023-05-10 19:32:16
96,Utrik,11.2278,169.8474,81.37,81,80,19.37,MH,2023-05-10 19:32:16
97,Lawas,13.764,121.0566,78.98,90,100,5.17,PH,2023-05-10 19:32:17
98,Buala,-8.145,159.5921,81.25,85,90,9.42,SB,2023-05-10 19:32:17
99,Bamboo Flat,11.7,92.7167,82.27,83,100,18.9,IN,2023-05-10 19:32:17
100,Margaret River,-33.95,115.0667,58.3,53,69,11.74,AU,2023-05-10 19:32:17
101,Monrovia,6.3005,-10.7969,82.17,82,88,7.31,LR,2023-05-10 19:32:18
102,Shahba,32.8551,36.629,69.64,25,65,5.46,SY,2023-05-10 19:32:18
103,Hammerfest,70.6634,23.6821,43.25,81,75,0.0,NO,2023-05-10 19:32:18
104,Petropavlovsk-Kamchatsky,53.0452,158.6483,34.39,80,100,6.71,RU,2023-05-10 19:32:18
105,Zhalantun,48.0,122.7167,47.23,35,7,3.02,CN,2023-05-10 19:32:23
106,Inyonga,-6.7167,32.0667,67.91,78,99,2.82,TZ,2023-05-10 19:32:23
107,Susuman,62.7833,148.1667,33.67,83,20,2.84,RU,2023-05-10 19:32:24
108,La'Ie,21.6477,-157.9253,80.56,72,9,5.99,US,2023-05-10 19:32:24
109,Chonchi,-42.6128,-73.8092,57.11,97,100,5.46,CL,2023-05-10 19:32:24
110,Taradale,-39.5333,176.85,49.01,69,100,3.0,NZ,2023-05-10 19:32:24
111,Butembo,0.15,29.2833,57.63,97,24,2.59,CD,2023-05-10 19:32:24
112,Srivardhan,18.0333,73.0167,82.74,80,26,2.35,IN,2023-05-10 19:31:53
113,Vancouver,49.2497,-123.1193,68.29,65,20,8.05,CA,2023-05-10 19:28:07
114,Upper Dir,35.2058,71.8756,59.29,32,74,10.65,PK,2023-05-10 19:32:25
115,Queenstown,-31.8976,26.8753,56.82,34,55,6.89,ZA,2023-05-10 19:32:25
116,Hasaki,35.7333,140.8333,57.22,67,100,15.12,JP,2023-05-10 19:32:25
117,Nyurba,63.2842,118.3319,28.99,85,91,4.83,RU,2023-05-10 19:32:25
118,Klyuchi,52.2667,79.1667,54.19,66,85,11.48,RU,2023-05-10 19:32:26
119,Balabac,7.9868,117.0645,82.38,76,61,6.91,PH,2023-05-10 19:32:26
120,Meadow Lakes,61.6247,-149.6011,54.84,41,0,12.66,US,2023-05-10 19:32:26
121,Udachny,66.4167,112.4,6.4,88,12,6.4,RU,2023-05-10 19:32:26
122,Vila Franca Do Campo,37.7167,-25.4333,66.61,88,75,7.16,PT,2023-05-10 19:32:26
123,Worthington,40.0931,-83.018,75.87,33,0,5.75,US,2023-05-10 19:31:50
124,Verkhnevilyuysk,63.4453,120.3167,27.45,87,37,3.49,RU,2023-05-10 19:32:27
125,Guerrero Negro,27.9769,-114.0611,66.36,52,13,22.62,MX,2023-05-10 19:32:27
126,Invercargill,-46.4,168.35,41.41,81,69,10.6,NZ,2023-05-10 19:32:27
127,Tekkali,18.6167,84.2333,81.9,79,100,0.94,IN,2023-05-10 19:32:27
128,Anadyr,64.75,177.4833,32.5,74,0,6.71,RU,2023-05-10 19:32:27
129,Jieshi,22.8134,115.8257,70.86,75,72,9.53,CN,2023-05-10 19:32:28
130,Fale Old Settlement,-9.3852,-171.2468,84.63,76,6,16.24,TK,2023-05-10 19:32:28
131,Talnakh,69.4865,88.3972,-8.41,84,12,2.42,RU,2023-05-10 19:32:33
132,San Patricio,28.017,-97.5169,89.08,61,64,7.02,US,2023-05-10 19:32:34
133,Isafjordur,66.0755,-23.124,42.8,93,100,1.63,IS,2023-05-10 19:32:34
134,Chandbali,20.7833,86.7667,81.86,77,30,7.85,IN,2023-05-10 19:32:34
135,General Pico,-35.6566,-63.7568,68.41,26,79,7.25,AR,2023-05-10 19:32:35
136,Namtsy,62.7161,129.6658,34.63,79,100,12.01,RU,2023-05-10 19:32:35
137,Chernyshevskiy,63.0128,112.4714,15.39,96,53,2.08,RU,2023-05-10 19:32:35
138,Kapuskasing,49.4169,-82.4331,71.69,24,0,12.66,CA,2023-05-10 19:32:35
139,Madzhalis,42.1217,47.8333,54.88,79,57,3.38,RU,2023-05-10 19:32:36
140,Nishinoomote,30.7333,131.0,67.32,59,100,5.08,JP,2023-05-10 19:32:36
141,Tshabong,-26.05,22.45,66.22,26,1,6.89,BW,2023-05-10 19:32:37
142,Port Alfred,-33.5906,26.891,69.64,57,9,10.29,ZA,2023-05-10 19:32:37
143,Quellon,-43.1167,-73.6167,57.45,94,75,8.05,CL,2023-05-10 19:32:37
144,Mahina,-17.5065,-149.489,83.97,70,75,4.61,PF,2023-05-10 19:32:37
145,El Rosario,24.2556,-107.1828,95.7,13,0,14.41,MX,2023-05-10 19:32:38
